,hour_of_day,hour_of_day_bins,is_weekend,city,merchant_category,payment_method,account_age_years,time_since_last_txn_hrs,time_since_last_txn_hrs_bins,failed_attempts,is_international,pin_changed_recently,is_night_transaction,is_fraud
84681,0,,1,Manchester,Travel,Bank Transfer,5.0,0.4,min-25%,0,0,1,1,0
84682,23,75%-max,0,Tokyo,Travel,Credit Card,9.8,9.35,50%-75%,0,0,0,1,0
84683,11,25%-50%,0,New York,Travel,Mobile Payment,5.8,46.06,75%-max,0,0,0,0,1
84684,20,75%-max,0,Guadalajara,Healthcare,Bank Transfer,1.7,2.6,min-25%,0,0,0,0,0
84685,2,min-25%,1,Paris,Entertainment,Mobile Payment,2.8,34.09,75%-max,0,0,0,1,0
84686,0,,0,Melbourne,Restaurant,Mobile Payment,0.1,2.42,min-25%,0,1,0,1,0
84687,7,25%-50%,1,São Paulo,Clothing,Crypto,11.9,6.68,25%-50%,0,0,0,0,0
84688,12,25%-50%,0,São Paulo,Crypto Exchange,Debit Card,5.5,5.92,25%-50%,0,0,0,0,0
84689,22,75%-max,1,São Paulo,Utilities,Credit Card,2.0,4.78,25%-50%,3,0,0,1,0
84690,3,min-25%,1,Tokyo,Grocery,Debit Card,7.4,35.81,75%-max,0,1,0,1,1
84691,6,min-25%,1,Sydney,Clothing,Credit Card,3.4,6.9,25%-50%,0,0,0,1,0
84692,6,min-25%,0,Delhi,Electronics,Debit Card,0.9,6.99,25%-50%,0,0,1,1,0
84693,6,min-25%,0,Vancouver,Crypto Exchange,Credit Card,1.4,1.3,min-25%,0,0,1,1,0
84694,12,25%-50%,0,Melbourne,Electronics,Debit Card,2.2,2.18,min-25%,0,0,0,0,0
84695,10,25%-50%,1,Paris,Entertainment,Crypto,4.1,3.7,25%-50%,0,0,0,0,0
84696,4,min-25%,1,London,Fuel,Debit Card,1.8,13.53,50%-75%,0,0,0,1,0
84697,22,75%-max,0,Mumbai,Crypto Exchange,Credit Card,2.1,29.58,75%-max,0,1,0,1,0
84698,12,25%-50%,1,Mumbai,Crypto Exchange,Bank Transfer,1.5,16.6,75%-max,0,0,0,0,0
84699,5,min-25%,1,Delhi,Online Shopping,Credit Card,0.9,7.44,25%-50%,0,1,0,1,0
84700,5,min-25%,0,Mumbai,Clothing,Debit Card,24.1,1.07,min-25%,0,0,1,1,0
84701,4,min-25%,0,Los Angeles,ATM Withdrawal,Credit Card,12.1,37.62,75%-max,0,0,0,1,0
84702,23,75%-max,0,Los Angeles,Online Shopping,Credit Card,4.2,21.54,75%-max,0,0,0,1,0
84703,11,25%-50%,0,Rio,Education,Credit Card,1.0,36.96,75%-max,0,0,1,0,0
84704,13,50%-75%,1,Munich,Grocery,Cheque,9.8,4.89,25%-50%,0,0,0,0,0
84705,14,50%-75%,0,São Paulo,Jewelry,Debit Card,0.4,8.54,50%-75%,2,0,1,0,0
84706,12,25%-50%,0,Rio,Gaming,Mobile Payment,1.7,0.16,min-25%,0,0,0,0,0
84707,15,50%-75%,0,Osaka,Fuel,Cheque,6.0,6.68,25%-50%,2,0,0,0,0
84708,18,50%-75%,1,Berlin,Electronics,Bank Transfer,0.1,26.49,75%-max,0,0,0,0,0
84709,2,min-25%,0,Delhi,Restaurant,Credit Card,13.4,3.74,25%-50%,0,0,0,1,0
84710,6,min-25%,0,São Paulo,Entertainment,Debit Card,8.7,8.73,50%-75%,0,0,0,1,0
84711,10,25%-50%,1,London,Crypto Exchange,Credit Card,0.5,4.37,25%-50%,0,0,0,0,0
84712,6,min-25%,0,Munich,Education,Mobile Payment,0.1,5.36,25%-50%,0,0,0,1,0
84713,22,75%-max,0,Munich,Travel,Credit Card,9.8,17.36,75%-max,0,0,1,1,0
84714,9,25%-50%,0,Munich,Travel,Debit Card,1.7,12.73,50%-75%,0,1,0,0,0
84715,1,min-25%,0,Manchester,Crypto Exchange,Mobile Payment,5.7,21.29,75%-max,0,0,0,1,0
84716,17,50%-75%,0,Tokyo,ATM Withdrawal,Debit Card,7.7,6.81,25%-50%,3,0,0,0,0
84717,22,75%-max,0,Delhi,Jewelry,Debit Card,0.1,7.27,25%-50%,0,0,0,1,0
84718,23,75%-max,1,Munich,Gaming,Credit Card,0.1,29.09,75%-max,0,0,0,1,0
84719,23,75%-max,0,Mexico City,Crypto Exchange,Debit Card,4.2,2.29,min-25%,0,0,0,1,0
84720,21,75%-max,0,Sydney,Entertainment,Credit Card,0.5,2.93,min-25%,0,0,1,0,0
84721,14,50%-75%,1,Munich,Electronics,Debit Card,0.4,8.15,25%-50%,0,0,0,0,0
84722,8,25%-50%,0,Berlin,Travel,Debit Card,11.4,40.18,75%-max,0,1,0,0,0
84723,0,,0,Osaka,Education,Mobile Payment,3.1,10.97,50%-75%,0,0,0,1,0
84724,5,min-25%,0,Mumbai,Grocery,Credit Card,10.2,23.77,75%-max,0,1,1,1,0
84725,21,75%-max,0,Toronto,Healthcare,Mobile Payment,10.6,3.44,min-25%,0,0,0,0,0
84726,9,25%-50%,0,Mexico City,Travel,Mobile Payment,3.3,3.77,25%-50%,0,0,0,0,0
84727,8,25%-50%,0,Lyon,Entertainment,Bank Transfer,3.7,12.05,50%-75%,0,0,0,0,0
84728,20,75%-max,0,São Paulo,Gaming,Bank Transfer,2.3,0.19,min-25%,1,0,0,0,0
84729,3,min-25%,0,New York,Fuel,Debit Card,3.5,0.39,min-25%,3,0,0,1,0
84730,8,25%-50%,0,Vancouver,Jewelry,Debit Card,2.5,9.84,50%-75%,0,0,0,0,0
84731,22,75%-max,0,Rio,Crypto Exchange,Credit Card,4.3,23.06,75%-max,0,0,0,1,0
84732,10,25%-50%,0,Berlin,Restaurant,Bank Transfer,5.3,1.8,min-25%,0,0,1,0,0
84733,7,25%-50%,0,Guadalajara,Jewelry,Credit Card,6.6,4.43,25%-50%,0,1,0,0,0
84734,10,25%-50%,0,Manchester,Online Shopping,Credit Card,0.1,3.47,25%-50%,0,0,0,0,0
84735,7,25%-50%,0,Los Angeles,Jewelry,Mobile Payment,0.4,3.26,min-25%,1,0,0,0,0
84736,1,min-25%,0,Toronto,ATM Withdrawal,Credit Card,3.2,9.67,50%-75%,0,0,0,1,0
84737,18,50%-75%,0,Paris,Education,Credit Card,3.3,9.66,50%-75%,0,0,0,0,0
84738,7,25%-50%,1,Melbourne,Travel,Credit Card,1.8,43.61,75%-max,1,0,0,0,0
84739,22,75%-max,0,Guadalajara,Online Shopping,Debit Card,1.3,3.64,25%-50%,1,0,0,1,0
84740,11,25%-50%,0,Rio,Education,Mobile Payment,2.9,1.87,min-25%,0,0,1,0,0
84741,21,75%-max,0,Sydney,Grocery,Debit Card,16.2,27.13,75%-max,0,0,0,0,0
84742,3,min-25%,0,Mexico City,Utilities,Mobile Payment,3.1,29.5,75%-max,0,0,0,1,0
84743,8,25%-50%,0,Mexico City,Fuel,Bank Transfer,9.4,27.68,75%-max,0,0,0,0,0
84744,14,50%-75%,0,Guadalajara,ATM Withdrawal,Debit Card,0.3,26.77,75%-max,0,0,0,0,0
84745,10,25%-50%,0,Guadalajara,Online Shopping,Cheque,1.6,7.65,25%-50%,0,0,0,0,0
84746,13,50%-75%,0,Guadalajara,Healthcare,Crypto,7.2,10.22,50%-75%,0,1,0,0,0
84747,11,25%-50%,0,Lyon,Restaurant,Credit Card,9.4,0.55,min-25%,2,0,0,0,0
84748,7,25%-50%,0,Tokyo,Healthcare,Credit Card,0.1,24.18,75%-max,0,0,0,0,0
84749,19,75%-max,1,Guadalajara,ATM Withdrawal,Credit Card,2.4,8.79,50%-75%,1,0,0,0,0
84750,16,50%-75%,1,Tokyo,Online Shopping,Mobile Payment,1.0,7.15,25%-50%,0,1,0,0,0
84751,7,25%-50%,1,Manchester,Healthcare,Bank Transfer,2.7,5.77,25%-50%,0,0,1,0,0
84752,6,min-25%,0,Delhi,Grocery,Bank Transfer,0.8,11.29,50%-75%,0,0,0,1,0
84753,17,50%-75%,1,Lyon,Healthcare,Mobile Payment,0.1,11.01,50%-75%,3,0,0,0,0
84754,22,75%-max,1,Mumbai,Jewelry,Credit Card,0.9,1.54,min-25%,2,0,0,1,0
84755,22,75%-max,0,New York,Fuel,Mobile Payment,5.8,3.43,min-25%,0,0,0,1,0
84756,12,25%-50%,1,Vancouver,ATM Withdrawal,Bank Transfer,11.8,9.57,50%-75%,0,0,1,0,0
84757,8,25%-50%,0,Lyon,Electronics,Credit Card,2.5,7.19,25%-50%,0,0,0,0,0
84758,15,50%-75%,0,Mumbai,ATM Withdrawal,Bank Transfer,2.3,12.5,50%-75%,0,0,0,0,0
84759,12,25%-50%,0,Mexico City,Entertainment,Mobile Payment,4.0,20.66,75%-max,0,0,0,0,0
84760,13,50%-75%,0,Guadalajara,Crypto Exchange,Bank Transfer,12.1,8.31,50%-75%,0,0,0,0,0
84761,16,50%-75%,1,São Paulo,Travel,Credit Card,7.7,6.42,25%-50%,0,0,0,0,0
84762,18,50%-75%,0,New York,Gaming,Debit Card,14.4,1.14,min-25%,0,1,0,0,0
84763,14,50%-75%,0,Munich,Fuel,Credit Card,1.9,14.23,50%-75%,0,0,0,0,0
84764,7,25%-50%,0,Vancouver,Healthcare,Credit Card,13.7,0.37,min-25%,2,0,0,0,0
84765,3,min-25%,1,Melbourne,ATM Withdrawal,Debit Card,5.0,16.9,75%-max,0,0,0,1,0
84766,13,50%-75%,0,Tokyo,Gaming,Bank Transfer,5.1,22.29,75%-max,0,0,0,0,0
84767,22,75%-max,1,Tokyo,Crypto Exchange,Debit Card,0.9,30.33,75%-max,3,0,1,1,0
84768,2,min-25%,0,Los Angeles,ATM Withdrawal,Mobile Payment,12.3,1.32,min-25%,0,0,0,1,0
84769,1,min-25%,0,Delhi,ATM Withdrawal,Bank Transfer,3.2,1.17,min-25%,0,0,0,1,0
84770,19,75%-max,0,Guadalajara,ATM Withdrawal,Credit Card,6.3,6.91,25%-50%,2,0,1,0,0
84771,16,50%-75%,0,Delhi,Fuel,Debit Card,2.3,0.24,min-25%,0,1,1,0,0
84772,8,25%-50%,1,Melbourne,Travel,Crypto,4.4,4.28,25%-50%,1,1,0,0,0
84773,21,75%-max,1,Mumbai,Clothing,Bank Transfer,19.7,0.17,min-25%,0,0,0,0,0
84774,0,,0,Munich,Travel,Debit Card,0.1,10.55,50%-75%,0,0,0,1,0
84775,6,min-25%,0,Munich,Utilities,Crypto,0.4,9.37,50%-75%,0,0,0,1,0
84776,15,50%-75%,0,Melbourne,Utilities,Credit Card,3.8,40.24,75%-max,0,0,0,0,0
84777,4,min-25%,0,São Paulo,Clothing,Cheque,5.4,1.34,min-25%,1,0,0,1,0
84778,9,25%-50%,0,Berlin,ATM Withdrawal,Credit Card,3.0,1.46,min-25%,0,0,0,0,1
84779,6,min-25%,0,Paris,Utilities,Crypto,8.4,3.79,25%-50%,2,0,0,1,0
84780,20,75%-max,0,Mexico City,Grocery,Debit Card,4.5,22.63,75%-max,0,0,1,0,0
84781,2,min-25%,1,Paris,Fuel,Credit Card,6.2,2.96,min-25%,0,0,0,1,0
84782,5,min-25%,0,Sydney,Fuel,Debit Card,1.1,31.34,75%-max,0,1,0,1,0
84783,23,75%-max,1,Berlin,Clothing,Debit Card,1.2,33.1,75%-max,3,0,0,1,1
84784,22,75%-max,1,Delhi,Grocery,Credit Card,3.1,1.1,min-25%,0,0,1,1,0
84785,17,50%-75%,0,Paris,ATM Withdrawal,Credit Card,2.4,20.05,75%-max,0,0,0,0,0
84786,19,75%-max,1,Guadalajara,Grocery,Credit Card,1.4,2.02,min-25%,0,0,0,0,0
84787,9,25%-50%,1,London,Travel,Credit Card,4.2,1.69,min-25%,2,0,0,0,1
84788,17,50%-75%,0,Toronto,Utilities,Debit Card,2.7,0.81,min-25%,0,0,0,0,0
84789,23,75%-max,1,Toronto,Education,Bank Transfer,1.3,15.28,50%-75%,0,0,0,1,0
84790,3,min-25%,0,Manchester,Entertainment,Crypto,2.0,12.63,50%-75%,0,0,0,1,0
84791,17,50%-75%,1,Munich,Grocery,Bank Transfer,0.1,8.76,50%-75%,0,0,0,0,0
84792,1,min-25%,0,Sydney,Clothing,Credit Card,6.7,15.84,50%-75%,0,1,0,1,0
84793,17,50%-75%,1,Berlin,Electronics,Debit Card,9.5,13.62,50%-75%,0,0,0,0,0
84794,19,75%-max,1,Vancouver,Online Shopping,Mobile Payment,1.9,4.8,25%-50%,1,0,0,0,0
84795,0,,1,Munich,Clothing,Bank Transfer,5.0,6.02,25%-50%,0,0,0,1,0
84796,19,75%-max,1,Paris,Crypto Exchange,Mobile Payment,3.6,11.42,50%-75%,0,0,0,0,0
84797,14,50%-75%,0,Manchester,Education,Debit Card,4.6,5.89,25%-50%,2,1,0,0,0
84798,10,25%-50%,0,Paris,ATM Withdrawal,Credit Card,6.4,1.41,min-25%,0,0,0,0,0
84799,20,75%-max,1,Vancouver,Healthcare,Debit Card,13.1,20.1,75%-max,0,0,0,0,0
84800,17,50%-75%,0,Manchester,Education,Bank Transfer,6.3,18.14,75%-max,0,1,0,0,0
84801,4,min-25%,1,Vancouver,Education,Debit Card,2.3,2.19,min-25%,0,0,0,1,0
84802,17,50%-75%,0,Paris,Online Shopping,Mobile Payment,0.2,2.33,min-25%,0,0,0,0,0
84803,5,min-25%,0,Los Angeles,Travel,Credit Card,7.0,4.08,25%-50%,0,0,0,1,0
84804,8,25%-50%,0,Tokyo,Fuel,Debit Card,4.4,18.3,75%-max,0,1,0,0,0
84805,13,50%-75%,1,Mexico City,Fuel,Credit Card,2.3,17.86,75%-max,0,0,0,0,0
84806,3,min-25%,0,Sydney,Jewelry,Credit Card,2.7,20.06,75%-max,0,0,0,1,1
84807,8,25%-50%,1,New York,Gaming,Debit Card,6.3,4.14,25%-50%,0,0,0,0,0
84808,9,25%-50%,0,Melbourne,Education,Crypto,4.4,4.31,25%-50%,0,0,0,0,0
84809,7,25%-50%,0,Osaka,Online Shopping,Mobile Payment,0.7,11.74,50%-75%,0,0,0,0,0
84810,21,75%-max,0,New York,ATM Withdrawal,Credit Card,4.7,1.32,min-25%,3,0,0,0,1
84811,21,75%-max,1,Mumbai,Jewelry,Debit Card,7.2,5.71,25%-50%,0,0,0,0,0
84812,10,25%-50%,0,Melbourne,Gaming,Credit Card,12.4,2.75,min-25%,4,0,1,0,0
84813,13,50%-75%,0,Delhi,Restaurant,Debit Card,0.3,32.9,75%-max,0,0,0,0,0
84814,17,50%-75%,0,São Paulo,Education,Credit Card,18.5,21.5,75%-max,0,0,0,0,0
84815,17,50%-75%,0,Mumbai,Fuel,Credit Card,1.6,4.58,25%-50%,0,0,0,0,0
84816,3,min-25%,0,Guadalajara,Online Shopping,Bank Transfer,0.3,3.0,min-25%,0,0,0,1,0
84817,4,min-25%,0,Tokyo,Electronics,Crypto,15.0,11.24,50%-75%,0,1,0,1,0
84818,10,25%-50%,1,São Paulo,Education,Debit Card,3.7,0.42,min-25%,0,0,0,0,0
84819,9,25%-50%,0,Manchester,Healthcare,Credit Card,0.8,2.91,min-25%,1,0,0,0,0
84820,18,50%-75%,0,Melbourne,Gaming,Debit Card,3.6,0.4,min-25%,2,0,0,0,0
84821,1,min-25%,0,Mumbai,Fuel,Bank Transfer,5.7,57.51,75%-max,0,0,0,1,0
84822,21,75%-max,1,Guadalajara,Utilities,Credit Card,3.6,9.35,50%-75%,0,0,1,0,0
84823,21,75%-max,0,Vancouver,Grocery,Credit Card,12.7,26.27,75%-max,0,0,0,0,0
84824,5,min-25%,0,Toronto,Travel,Cheque,1.9,0.52,min-25%,0,0,0,1,0
84825,6,min-25%,0,Munich,Restaurant,Credit Card,14.7,32.57,75%-max,4,0,0,1,0
84826,10,25%-50%,0,Munich,Crypto Exchange,Mobile Payment,1.0,2.36,min-25%,2,0,0,0,1
84827,11,25%-50%,1,Lyon,Jewelry,Crypto,5.8,6.61,25%-50%,0,0,0,0,0
84828,2,min-25%,0,Osaka,Online Shopping,Credit Card,2.1,4.11,25%-50%,0,0,0,1,0
84829,0,,0,New York,Clothing,Debit Card,1.0,11.13,50%-75%,0,0,0,1,0
84830,8,25%-50%,0,New York,Entertainment,Credit Card,0.3,9.27,50%-75%,0,0,0,0,0
84831,19,75%-max,1,Melbourne,Travel,Bank Transfer,2.8,0.32,min-25%,0,1,0,0,1
84832,13,50%-75%,0,Tokyo,Online Shopping,Debit Card,14.9,0.75,min-25%,0,0,0,0,1
84833,13,50%-75%,0,Tokyo,Entertainment,Mobile Payment,24.5,12.72,50%-75%,0,0,0,0,0
84834,8,25%-50%,1,Melbourne,Fuel,Bank Transfer,1.3,52.26,75%-max,3,0,0,0,0
84835,9,25%-50%,0,Delhi,ATM Withdrawal,Debit Card,3.4,12.49,50%-75%,0,0,1,0,0
84836,14,50%-75%,0,Mumbai,Electronics,Bank Transfer,0.3,14.42,50%-75%,1,0,0,0,0
84837,0,,0,Osaka,Gaming,Debit Card,3.0,10.27,50%-75%,2,0,1,1,0
84838,8,25%-50%,0,Melbourne,Clothing,Credit Card,2.6,4.22,25%-50%,0,0,1,0,0
84839,3,min-25%,0,Osaka,Grocery,Credit Card,0.6,26.6,75%-max,0,0,0,1,0
84840,11,25%-50%,0,Vancouver,Travel,Bank Transfer,3.4,3.23,min-25%,0,0,0,0,0
84841,2,min-25%,1,Lyon,Online Shopping,Debit Card,0.1,11.22,50%-75%,0,1,0,1,0
84842,9,25%-50%,0,Toronto,Healthcare,Credit Card,0.6,3.97,25%-50%,0,0,0,0,0
84843,1,min-25%,0,Mumbai,Gaming,Credit Card,2.4,0.31,min-25%,0,0,0,1,0
84844,19,75%-max,1,Vancouver,Utilities,Credit Card,11.9,22.74,75%-max,3,0,0,0,0
84845,8,25%-50%,1,Melbourne,Grocery,Debit Card,4.0,6.35,25%-50%,0,0,0,0,0
84846,19,75%-max,1,Toronto,Clothing,Debit Card,22.4,2.82,min-25%,1,0,0,0,0
84847,10,25%-50%,1,Melbourne,Travel,Bank Transfer,2.0,9.43,50%-75%,2,0,0,0,0
84848,13,50%-75%,1,Berlin,Crypto Exchange,Debit Card,1.8,1.23,min-25%,0,1,0,0,0
84849,20,75%-max,0,Paris,Utilities,Crypto,7.5,0.05,min-25%,0,0,0,0,0
84850,14,50%-75%,0,Berlin,Travel,Credit Card,6.4,24.58,75%-max,0,0,0,0,0
84851,16,50%-75%,1,Rio,Gaming,Debit Card,1.7,10.95,50%-75%,0,0,0,0,0
84852,18,50%-75%,0,Los Angeles,Entertainment,Crypto,3.1,7.94,25%-50%,0,1,0,0,0
84853,4,min-25%,0,London,Electronics,Mobile Payment,9.9,9.35,50%-75%,0,0,0,1,0
84854,6,min-25%,0,Toronto,Clothing,Debit Card,0.1,2.44,min-25%,0,0,0,1,0
84855,1,min-25%,0,Mexico City,Healthcare,Credit Card,4.0,0.75,min-25%,0,0,0,1,0
84856,16,50%-75%,0,Manchester,Restaurant,Credit Card,20.5,1.14,min-25%,1,0,0,0,0
84857,21,75%-max,0,Sydney,Healthcare,Debit Card,3.2,13.48,50%-75%,0,0,0,0,0
84858,15,50%-75%,1,Vancouver,Restaurant,Credit Card,4.7,0.37,min-25%,0,0,0,0,0
84859,0,,1,Mexico City,Electronics,Bank Transfer,0.4,14.59,50%-75%,0,0,0,1,0
84860,16,50%-75%,0,Tokyo,Crypto Exchange,Bank Transfer,3.9,17.85,75%-max,0,0,0,0,0
84861,13,50%-75%,0,Guadalajara,Travel,Cheque,1.0,7.41,25%-50%,0,0,0,0,0
84862,16,50%-75%,1,Vancouver,Clothing,Cheque,1.2,11.75,50%-75%,0,0,0,0,0
84863,5,min-25%,0,Munich,ATM Withdrawal,Debit Card,1.7,17.57,75%-max,0,0,0,1,0
84864,19,75%-max,0,Melbourne,Online Shopping,Crypto,2.8,5.23,25%-50%,0,0,0,0,0
84865,2,min-25%,1,London,Gaming,Credit Card,4.4,0.72,min-25%,0,0,0,1,1
84866,6,min-25%,0,Los Angeles,Grocery,Mobile Payment,0.3,40.87,75%-max,0,0,0,1,0
84867,1,min-25%,0,Mexico City,Entertainment,Credit Card,3.3,10.98,50%-75%,0,0,0,1,0
84868,11,25%-50%,0,Mexico City,Travel,Debit Card,4.1,3.77,25%-50%,0,0,0,0,0
84869,8,25%-50%,1,Manchester,Electronics,Debit Card,1.9,4.82,25%-50%,0,0,0,0,0
84870,18,50%-75%,0,Berlin,Education,Debit Card,0.5,1.48,min-25%,0,0,0,0,0
84871,2,min-25%,1,Toronto,Electronics,Mobile Payment,1.0,5.05,25%-50%,0,1,0,1,0
84872,0,,1,Manchester,Restaurant,Credit Card,4.1,9.65,50%-75%,0,0,0,1,0
84873,3,min-25%,0,Sydney,Grocery,Debit Card,0.5,9.66,50%-75%,0,0,1,1,0
84874,22,75%-max,0,Mexico City,Grocery,Credit Card,20.7,13.88,50%-75%,0,1,0,1,0
84875,7,25%-50%,1,Mexico City,Utilities,Mobile Payment,1.0,3.83,25%-50%,0,1,0,0,0
84876,16,50%-75%,1,Mexico City,Gaming,Mobile Payment,5.5,3.53,25%-50%,0,0,0,0,0
84877,21,75%-max,0,Delhi,Healthcare,Credit Card,0.9,20.58,75%-max,0,0,0,0,0
84878,3,min-25%,0,Tokyo,Travel,Bank Transfer,6.5,42.82,75%-max,0,1,0,1,0
84879,7,25%-50%,0,Los Angeles,Crypto Exchange,Bank Transfer,1.9,12.24,50%-75%,0,0,0,0,0
84880,2,min-25%,0,Toronto,Healthcare,Credit Card,0.3,16.92,75%-max,0,0,0,1,0
84881,13,50%-75%,1,Lyon,Healthcare,Credit Card,0.1,9.29,50%-75%,1,0,0,0,0
84882,12,25%-50%,1,Delhi,Grocery,Credit Card,9.4,2.37,min-25%,0,0,0,0,0
84883,20,75%-max,1,Vancouver,Restaurant,Bank Transfer,1.2,0.26,min-25%,0,0,0,0,0
84884,16,50%-75%,1,London,Healthcare,Bank Transfer,3.6,20.28,75%-max,0,0,0,0,0
84885,16,50%-75%,0,Los Angeles,Crypto Exchange,Credit Card,9.5,45.44,75%-max,0,0,0,0,0
84886,16,50%-75%,1,Vancouver,Education,Mobile Payment,1.8,0.15,min-25%,0,0,0,0,0
84887,7,25%-50%,1,Los Angeles,ATM Withdrawal,Credit Card,7.6,27.56,75%-max,0,0,0,0,0
84888,4,min-25%,0,Rio,Online Shopping,Debit Card,3.7,2.42,min-25%,0,0,0,1,0
84889,1,min-25%,1,New York,Utilities,Bank Transfer,6.0,37.0,75%-max,1,0,0,1,0
84890,12,25%-50%,0,London,Crypto Exchange,Bank Transfer,16.7,2.34,min-25%,1,0,1,0,0
84891,16,50%-75%,0,Delhi,Healthcare,Debit Card,2.8,15.28,50%-75%,1,0,0,0,0
84892,14,50%-75%,0,Mexico City,Electronics,Credit Card,6.9,16.0,50%-75%,0,0,0,0,0
84893,12,25%-50%,1,Munich,ATM Withdrawal,Debit Card,0.4,49.12,75%-max,0,0,1,0,0
84894,6,min-25%,0,São Paulo,Fuel,Debit Card,2.9,6.54,25%-50%,1,0,0,1,0
84895,9,25%-50%,0,Melbourne,Travel,Bank Transfer,5.5,8.4,50%-75%,1,0,0,0,0
84896,3,min-25%,0,Mexico City,Electronics,Mobile Payment,11.4,13.41,50%-75%,0,0,0,1,1
84897,4,min-25%,0,Melbourne,Electronics,Mobile Payment,3.1,6.29,25%-50%,0,0,0,1,0
84898,9,25%-50%,0,Munich,Utilities,Credit Card,0.2,16.5,50%-75%,0,0,1,0,0
84899,15,50%-75%,0,Munich,Electronics,Credit Card,2.1,7.21,25%-50%,0,0,0,0,0
84900,4,min-25%,0,Delhi,Restaurant,Debit Card,0.6,11.9,50%-75%,0,1,0,1,0
84901,5,min-25%,1,Vancouver,Travel,Cheque,6.8,2.28,min-25%,0,0,0,1,0
84902,21,75%-max,1,Lyon,Healthcare,Bank Transfer,1.0,5.42,25%-50%,1,0,0,0,0
84903,23,75%-max,0,Delhi,Travel,Debit Card,3.7,3.3,min-25%,0,1,0,1,0
84904,12,25%-50%,0,São Paulo,Utilities,Credit Card,10.1,42.0,75%-max,0,0,0,0,0
84905,23,75%-max,0,Munich,Grocery,Bank Transfer,1.5,0.09,min-25%,0,0,0,1,0
84906,2,min-25%,0,Delhi,Clothing,Mobile Payment,1.3,8.1,25%-50%,0,0,0,1,0
84907,7,25%-50%,0,London,Online Shopping,Crypto,1.4,6.87,25%-50%,1,0,0,0,0
84908,7,25%-50%,0,Delhi,Crypto Exchange,Debit Card,22.0,5.41,25%-50%,0,0,0,0,0
84909,4,min-25%,0,Mumbai,Entertainment,Debit Card,0.4,12.48,50%-75%,0,0,0,1,0
84910,20,75%-max,1,Los Angeles,Crypto Exchange,Credit Card,2.5,0.79,min-25%,0,1,0,0,0
84911,7,25%-50%,0,São Paulo,Restaurant,Bank Transfer,8.5,13.12,50%-75%,1,0,0,0,1
84912,15,50%-75%,0,New York,Jewelry,Crypto,3.2,1.12,min-25%,0,0,0,0,0
84913,20,75%-max,1,London,Jewelry,Credit Card,3.4,1.07,min-25%,4,0,0,0,0
84914,21,75%-max,0,Manchester,Jewelry,Debit Card,8.1,3.27,min-25%,3,0,0,0,0
84915,8,25%-50%,1,São Paulo,Healthcare,Mobile Payment,3.0,3.31,min-25%,0,0,0,0,0
84916,1,min-25%,0,São Paulo,Jewelry,Cheque,8.5,4.75,25%-50%,0,0,0,1,0
84917,7,25%-50%,0,Guadalajara,Entertainment,Debit Card,2.4,3.11,min-25%,0,1,1,0,0
84918,19,75%-max,0,Paris,Grocery,Debit Card,8.1,5.34,25%-50%,4,1,0,0,0
84919,3,min-25%,0,Rio,Crypto Exchange,Debit Card,4.6,15.91,50%-75%,0,0,0,1,0
84920,2,min-25%,1,Berlin,Restaurant,Credit Card,1.2,47.35,75%-max,2,0,0,1,0
84921,7,25%-50%,0,New York,Education,Crypto,0.2,18.74,75%-max,2,0,0,0,0
84922,11,25%-50%,0,Delhi,Education,Credit Card,1.7,6.75,25%-50%,0,0,0,0,0
84923,11,25%-50%,0,Lyon,Utilities,Debit Card,2.6,8.22,25%-50%,0,0,0,0,0
84924,17,50%-75%,1,Mumbai,Clothing,Bank Transfer,9.9,2.86,min-25%,0,0,0,0,0
84925,21,75%-max,0,Toronto,Entertainment,Cheque,10.2,6.18,25%-50%,0,0,0,0,0
84926,4,min-25%,0,Lyon,Fuel,Debit Card,5.0,10.98,50%-75%,1,0,0,1,0
84927,8,25%-50%,0,São Paulo,Healthcare,Bank Transfer,10.9,32.4,75%-max,0,0,0,0,0
84928,11,25%-50%,0,São Paulo,Fuel,Debit Card,2.1,5.78,25%-50%,0,0,0,0,0
84929,18,50%-75%,1,New York,Jewelry,Cheque,1.5,17.37,75%-max,0,0,1,0,0
84930,17,50%-75%,0,Sydney,Clothing,Credit Card,10.9,1.98,min-25%,0,0,0,0,0
84931,21,75%-max,0,São Paulo,Education,Bank Transfer,0.5,22.33,75%-max,3,0,1,0,0
84932,16,50%-75%,0,Berlin,Electronics,Credit Card,9.4,2.92,min-25%,0,0,0,0,0
84933,9,25%-50%,0,Munich,ATM Withdrawal,Cheque,0.4,10.27,50%-75%,0,0,1,0,0
84934,3,min-25%,0,Lyon,Fuel,Debit Card,1.8,9.28,50%-75%,0,1,0,1,0
84935,16,50%-75%,0,Paris,Online Shopping,Credit Card,0.6,4.46,25%-50%,0,0,0,0,0
84936,0,,0,Los Angeles,Education,Credit Card,1.6,1.13,min-25%,0,1,1,1,0
84937,9,25%-50%,1,Rio,Restaurant,Debit Card,17.7,15.85,50%-75%,0,1,1,0,0
84938,5,min-25%,0,Paris,Utilities,Mobile Payment,5.2,5.99,25%-50%,0,0,0,1,0
84939,11,25%-50%,0,Berlin,ATM Withdrawal,Credit Card,0.2,0.91,min-25%,3,0,0,0,0
84940,8,25%-50%,0,New York,Healthcare,Crypto,1.4,10.88,50%-75%,2,0,1,0,0
